2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.691547;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401;2,0,-9.875401; 0.004
-2.964575,-6.97134,2.12753;-3.778209,-6.618552,2.156189;-4.497692,-5.718973,2.274887;-4.999849,-4.962108,2.544824;-5.561241,-4.308101,2.918714;-4.263569,-3.958316,1.983861;-4.641954,-2.804047,2.359347;-5.019702,-2.320558,2.766508;-5.436697,-2.087252,3.077227;-3.894344,-3.732307,2.343649;-4.260143,-2.490377,2.915918;-4.689392,-2.062152,3.563412;-5.098938,-2.056612,4.055199;-3.48015,-3.760469,2.760557;-3.783419,-2.511934,3.267039;-4.233637,-2.196854,3.817233;-4.650585,-2.308971,4.207544;-3.019962,-3.98362,3.195846;-3.213267,-2.901626,3.717354;-3.583503,-2.620653,4.144483;-3.976154,-2.726782,4.484711;-9.362395,-8.057148,0.6213014;-8.723753,-7.744381,0.9245101;-8.149934,-7.099514,1.182473;-7.723147,-6.529625,1.472042;-7.330885,-6.258695,1.78505;-8.563438,-5.319103,0.9465784;-8.373187,-4.210531,1.191118;-8.28594,-3.539221,1.410908;-8.21995,-2.954866,1.544114;-8.949558,-5.113884,1.020722;-8.7979,-3.774992,1.215998;-8.710825,-2.939116,1.472664;-8.64838,-2.211101,1.686338;-9.328773,-5.177102,1.124977;-9.230013,-3.965997,1.305846;-9.145135,-3.197577,1.487099;-9.059429,-2.524409,1.623518;-9.719118,-5.456983,1.266629;-9.772283,-4.509741,1.458179;-9.777504,-3.893737,1.592619;-9.755525,-3.298082,1.692194; 0.109
-2.609167,-7.44647,2.237811;-3.423507,-7.009968,2.305229;-4.093533,-6.047609,2.408499;-4.503124,-5.1454,2.664221;-4.91687,-4.313856,2.975965;-3.76981,-4.334413,1.888057;-4.007084,-3.203024,2.25334;-4.336388,-2.821241,2.720741;-4.67638,-2.821686,3.066172;-3.391705,-4.129913,2.171755;-3.610973,-2.822194,2.685284;-4.006338,-2.543119,3.353307;-4.320843,-2.869227,3.840996;-2.995781,-4.153126,2.530066;-3.16622,-2.854259,2.985826;-3.56288,-2.709013,3.541639;-3.884052,-3.084834,3.909685;-2.565305,-4.353235,2.91501;-2.699127,-3.266008,3.38881;-3.026049,-3.119741,3.787924;-3.351785,-3.446964,4.089242;-9.301457,-8.065952,0.6219268;-8.678274,-7.761974,0.9271911;-8.100198,-7.124794,1.172005;-7.67773,-6.55727,1.450389;-7.284317,-6.285931,1.752887;-8.509131,-5.329498,0.9282188;-8.320446,-4.219154,1.165526;-8.23391,-3.537929,1.380295;-8.166465,-2.944786,1.512922;-8.89569,-5.125659,1.001841;-8.748398,-3.797493,1.195124;-8.663277,-2.968775,1.452752;-8.60212,-2.255018,1.659793;-9.274244,-5.184385,1.107424;-9.178902,-3.985458,1.295027;-9.097241,-3.224063,1.486892;-9.012346,-2.563211,1.625014;-9.66484,-5.456628,1.247939;-9.717578,-4.518842,1.449627;-9.722898,-3.904935,1.589151;-9.700459,-3.309719,1.689358; 0.273
-2.367885,-7.686479,2.202697;-3.182286,-7.23237,2.296217;-3.823215,-6.286756,2.367598;-4.15754,-5.313093,2.559928;-4.421824,-4.378684,2.776575;-3.452991,-4.600522,1.720744;-3.681428,-3.525903,1.984341;-3.959633,-3.078047,2.407098;-4.243357,-3.023607,2.711124;-3.064497,-4.370125,1.950558;-3.25668,-3.075253,2.333096;-3.608065,-2.745394,2.936197;-3.880882,-3.064737,3.381746;-2.6738,-4.375835,2.260931;-2.824295,-3.071889,2.627901;-3.151846,-2.8963,3.149627;-3.414382,-3.300372,3.495853;-2.245397,-4.551785,2.604404;-2.376601,-3.463345,2.992812;-2.673901,-3.262729,3.365971;-2.975784,-3.598175,3.64889;-9.277855,-8.132479,0.7842308;-8.633417,-7.83582,1.076805;-8.054178,-7.178652,1.318601;-7.640203,-6.604792,1.592943;-7.251354,-6.334634,1.892693;-8.466278,-5.351973,1.073982;-8.262112,-4.249317,1.295665;-8.16838,-3.56435,1.504172;-8.097946,-2.965452,1.63395;-8.848949,-5.140029,1.152167;-8.698625,-3.819199,1.31882;-8.609262,-2.991017,1.560399;-8.545533,-2.283842,1.75869;-9.225228,-5.197826,1.2642;-9.129484,-3.995694,1.426847;-9.050751,-3.234498,1.612414;-8.970046,-2.578362,1.748873;-9.614057,-5.475027,1.410735;-9.671018,-4.531049,1.601257;-9.679931,-3.913843,1.743073;-9.664307,-3.321559,1.843929; 0.408
-2.321906,-7.615438,2.155072;-3.128503,-7.200032,2.323747;-3.776671,-6.307052,2.431017;-4.10705,-5.319229,2.633446;-4.283998,-4.352849,2.843863;-3.41129,-4.578009,1.678618;-3.658122,-3.536863,1.883672;-3.907658,-3.072071,2.285089;-4.16823,-3.000584,2.574522;-3.006971,-4.314156,1.860489;-3.22403,-3.061096,2.18053;-3.538321,-2.72138,2.770899;-3.778978,-3.026816,3.207494;-2.609702,-4.295064,2.118258;-2.784892,-3.034379,2.443499;-3.07954,-2.841318,2.96849;-3.31941,-3.221937,3.32423;-2.175033,-4.458665,2.419423;-2.314142,-3.391001,2.785008;-2.590186,-3.207027,3.163063;-2.868731,-3.562767,3.461312;-9.278708,-8.147715,0.7984669;-8.631801,-7.854539,1.086133;-8.049603,-7.21112,1.325548;-7.63452,-6.642274,1.600289;-7.25001,-6.371072,1.894584;-8.456647,-5.368139,1.068701;-8.251211,-4.27122,1.287444;-8.156056,-3.589963,1.495774;-8.084255,-2.990473,1.622784;-8.838568,-5.150842,1.150454;-8.685639,-3.832075,1.30833;-8.594686,-3.000328,1.552767;-8.530615,-2.284463,1.755283;-9.214296,-5.204649,1.266321;-9.117709,-4.0041,1.419657;-9.050751,-3.234498,1.626643;-8.970046,-2.578362,1.763102;-9.614057,-5.475027,1.424964;-9.671018,-4.531049,1.615486;-9.679931,-3.913843,1.757302;-9.664307,-3.321559,1.858158; 0.477
-2.200772,-7.61288,2.263711;-2.992241,-7.244292,2.494816;-3.660543,-6.405563,2.641306;-4.014947,-5.440655,2.867258;-4.127672,-4.481183,3.101723;-3.328558,-4.573941,1.845339;-3.57489,-3.52679,2.037881;-3.80677,-3.031553,2.442655;-4.038155,-2.954615,2.732904;-2.914001,-4.283359,1.996425;-3.100962,-3.0211,2.181939;-3.39187,-2.557575,2.709998;-3.626911,-2.77611,3.137131;-2.50519,-4.26847,2.231193;-2.637825,-3.000936,2.454815;-2.901658,-2.69561,2.942906;-3.13464,-2.994933,3.290129;-2.053527,-4.446667,2.518959;-2.126958,-3.348916,2.817716;-2.365656,-3.111506,3.172404;-2.633743,-3.436042,3.461835;-9.274007,-8.138489,0.8376287;-8.623713,-7.849167,1.143841;-8.028893,-7.18316,1.394032;-7.602478,-6.608909,1.67454;-7.209002,-6.327748,1.975507;-8.441135,-5.358377,1.150663;-8.23012,-4.248622,1.394927;-8.136201,-3.557881,1.611531;-8.067061,-2.947252,1.746846;-8.821697,-5.137888,1.236382;-8.657743,-3.802996,1.429668;-8.563846,-2.964955,1.683606;-8.49826,-2.242445,1.892121;-9.198898,-5.189996,1.354731;-9.088222,-3.964485,1.543861;-8.998569,-3.180955,1.745775;-8.910931,-2.501039,1.896724;-9.593623,-5.468844,1.509221;-9.647861,-4.510947,1.717987;-9.655113,-3.881605,1.871264;-9.639433,-3.275247,1.983015; 0.613
-1.927952,-7.598836,2.227656;-2.751775,-7.339979,2.600846;-3.422099,-6.688547,2.796632;-3.830184,-5.897398,3.054825;-4.099792,-5.110044,3.29092;-3.079272,-4.612098,2.180518;-3.406693,-3.49128,2.403174;-3.612514,-2.807047,2.606273;-3.822718,-2.191978,2.756271;-2.645511,-4.270132,2.265539;-2.864208,-3.004719,2.49845;-3.071795,-2.229743,2.811705;-3.274393,-1.689863,3.047551;-2.216478,-4.26468,2.444365;-2.317745,-3.067644,2.687005;-2.497684,-2.432636,3.023548;-2.700123,-2.092375,3.261443;-1.765989,-4.491058,2.669892;-1.752821,-3.494757,2.915702;-1.886051,-2.989652,3.164537;-2.085402,-2.75441,3.319734;-9.342559,-8.008589,1.102879;-8.683856,-7.67698,1.396392;-8.082408,-7.012601,1.65036;-7.642694,-6.45598,1.940404;-7.233699,-6.21479,2.253982;-8.509177,-5.144561,1.390825;-8.290668,-4.016518,1.631789;-8.193607,-3.314339,1.852925;-8.11583,-2.694536,1.988253;-8.904883,-4.925796,1.479282;-8.743061,-3.54171,1.676271;-8.636876,-2.748291,1.959589;-8.563955,-2.014416,2.163726;-9.271174,-5.017394,1.613269;-9.172346,-3.754224,1.806959;-9.091198,-2.969704,2.002944;-9.004412,-2.281039,2.140677;-9.669081,-5.30397,1.766194;-9.726196,-4.336648,1.98013;-9.736163,-3.707298,2.12816;-9.72105,-3.099339,2.227743; 1.038
-1.896915,-7.52688,2.08489;-2.731596,-7.318088,2.463545;-3.418532,-6.710727,2.647839;-3.847578,-5.962018,2.886045;-4.1775,-5.286178,3.098629;-3.070016,-4.60112,2.116982;-3.405128,-3.468762,2.346858;-3.617651,-2.777735,2.53756;-3.830458,-2.150195,2.676388;-2.63516,-4.245866,2.187145;-2.863182,-2.95462,2.425731;-3.059118,-2.164478,2.712362;-3.238722,-1.567612,2.919233;-2.20394,-4.228317,2.347687;-2.3181,-3.026416,2.60548;-2.479321,-2.374382,2.924709;-2.649458,-1.971576,3.142726;-1.748104,-4.446508,2.548933;-1.743672,-3.471533,2.80294;-1.865417,-2.977025,3.046351;-2.036231,-2.708786,3.185688;-9.352577,-7.991446,1.158665;-8.692098,-7.644634,1.440193;-8.094074,-6.975,1.691671;-7.647741,-6.428583,1.982794;-7.227093,-6.203878,2.306102;-8.509171,-5.105651,1.431073;-8.299447,-3.975136,1.662039;-8.206768,-3.2719,1.881851;-8.131845,-2.65345,2.01845;-8.906314,-4.893344,1.532195;-8.751687,-3.509346,1.715047;-8.660255,-2.652045,1.975019;-8.589615,-1.916243,2.184403;-9.292992,-4.951446,1.663691;-9.199279,-3.684757,1.834828;-9.117152,-2.893817,2.026564;-9.029835,-2.202684,2.164065;-9.691026,-5.239824,1.830012;-9.759483,-4.261278,2.031039;-9.771091,-3.628555,2.171294;-9.756632,-3.019649,2.268866; 1.104
-1.825866,-7.544488,1.75025;-2.639234,-7.402395,2.192769;-3.373377,-6.883039,2.429253;-3.897799,-6.241983,2.65868;-4.300854,-5.771558,2.884974;-3.010799,-4.709583,2.040488;-3.361303,-3.483938,2.281187;-3.570853,-2.74055,2.490514;-3.744732,-2.058435,2.66544;-2.56335,-4.373157,2.041339;-2.812989,-2.955658,2.257502;-2.98437,-2.054395,2.500831;-3.109947,-1.326561,2.699058;-2.114165,-4.35725,2.124044;-2.246147,-3.03494,2.351883;-2.389025,-2.215763,2.624585;-2.51769,-1.576167,2.824302;-1.641074,-4.586356,2.250697;-1.601276,-3.541933,2.48482;-1.632809,-2.91156,2.729398;-1.698775,-2.348488,2.915092;-9.416304,-7.825397,1.14783;-8.742667,-7.517877,1.489254;-8.13275,-6.917268,1.775676;-7.668423,-6.428092,2.09077;-7.247303,-6.246218,2.43982;-8.583517,-4.958732,1.483587;-8.362471,-3.81241,1.725458;-8.266309,-3.099397,1.958527;-8.189726,-2.474949,2.102922;-8.99049,-4.732034,1.556278;-8.83913,-3.325894,1.742539;-8.753208,-2.444376,2.155753;-8.69002,-1.696229,2.383303;-9.391529,-4.829258,1.751786;-9.305608,-3.50919,1.966722;-9.222244,-2.690398,2.185441;-9.139619,-1.984949,2.340552;-9.797663,-5.133932,1.904924;-9.870379,-4.122137,2.131634;-9.888341,-3.468015,2.293555;-9.881603,-2.851627,2.412097; 1.388
-1.765329,-7.802541,2.413369;-2.563907,-7.678602,2.91395;-3.32815,-7.163151,3.186219;-3.926012,-6.666884,3.420593;-4.373627,-6.435085,3.664192;-2.907302,-4.843267,2.938226;-3.280554,-3.557518,3.283307;-3.465675,-2.759118,3.534143;-3.598603,-2.024915,3.736377;-2.452962,-4.456869,2.955733;-2.700636,-2.866878,3.315666;-2.832989,-1.869898,3.634354;-2.919637,-1.055062,3.850947;-1.99647,-4.427408,3.039301;-2.100649,-2.918986,3.421203;-2.194118,-1.971637,3.734026;-2.277717,-1.203711,3.949337;-1.517052,-4.694582,3.168338;-1.392918,-3.540056,3.520985;-1.323815,-2.82393,3.770839;-1.28381,-2.144023,3.96557;-9.434614,-7.719583,1.00797;-8.765384,-7.505394,1.424538;-8.171242,-6.947298,1.754388;-7.677357,-6.543214,2.096395;-7.1843,-6.465778,2.496397;-8.628411,-4.924062,1.43179;-8.400634,-3.762437,1.682944;-8.292161,-3.036696,1.939973;-8.210651,-2.39557,2.103104;-9.048902,-4.670922,1.481212;-8.904855,-3.259689,1.654917;-8.812062,-2.367573,1.929246;-8.738616,-1.615171,2.160888;-9.45219,-4.721607,1.564154;-9.391414,-3.401946,1.740852;-9.337095,-2.587302,1.975469;-9.274929,-1.88197,2.147047;-9.86608,-5.016791,1.685734;-9.98222,-4.057827,1.95193;-10.05172,-3.414711,2.132606;-10.08806,-2.78999,2.273158; 1.873
