WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.020,Dnf
2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,0.040,DnF
2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.503192,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,2 0 -8.657054,0.060,DnF
-1.987787 -6.521569 1.22026,-2.609141 -6.388343 1.685362,-3.147932 -5.638484 2.0185,-3.516024 -5.002271 2.328176,-3.95756 -4.540411 2.673957,-2.811716 -4.139257 2.070557,-3.054489 -3.139032 2.535326,-3.227338 -2.493673 2.861541,-3.425165 -1.941096 3.162736,-2.437432 -3.936898 2.133614,-2.59071 -2.783096 2.704627,-2.751576 -2.075185 3.148052,-2.940206 -1.511095 3.478094,-2.061345 -4.034923 2.237815,-2.150774 -3.010789 2.810504,-2.33675 -2.397958 3.245426,-2.552856 -1.929286 3.559118,-1.686485 -4.404648 2.347015,-1.655781 -3.631599 2.908312,-1.744479 -3.212946 3.288264,-1.860806 -2.920409 3.605374,-9.206339 -8.524235 0.5324706,-8.670359 -8.223181 0.8265551,-8.202192 -7.587417 1.072231,-7.864114 -7.034822 1.343787,-7.513557 -6.684921 1.65278,-8.626145 -6.08006 0.8786831,-8.484686 -5.057811 1.13353,-8.411637 -4.46669 1.350898,-8.355335 -3.918323 1.474898,-8.93339 -5.952137 0.9830014,-8.834015 -4.77175 1.251197,-8.765605 -4.030285 1.51609,-8.694571 -3.378588 1.697,-9.239975 -6.056134 1.111931,-9.187444 -4.925093 1.387806,-9.143503 -4.200696 1.648657,-9.070868 -3.56551 1.833109,-9.562132 -6.346269 1.277341,-9.64097 -5.487098 1.543044,-9.666576 -4.915327 1.73613,-9.649611 -4.358324 1.865286,0.080,DnF
-1.987787 -6.521569 1.22026,-2.609141 -6.388343 1.685362,-3.147932 -5.638484 2.0185,-3.516024 -5.002271 2.328176,-3.95756 -4.540411 2.673957,-2.811716 -4.139257 2.070557,-3.054489 -3.139032 2.535326,-3.227338 -2.493673 2.861541,-3.425165 -1.941096 3.162736,-2.437432 -3.936898 2.133614,-2.59071 -2.783096 2.704627,-2.751576 -2.075185 3.148052,-2.940206 -1.511095 3.478094,-2.061345 -4.034923 2.237815,-2.150774 -3.010789 2.810504,-2.33675 -2.397958 3.245426,-2.552856 -1.929286 3.559118,-1.686485 -4.404648 2.347015,-1.655781 -3.631599 2.908312,-1.744479 -3.212946 3.288264,-1.860806 -2.920409 3.605374,-9.206339 -8.524235 0.5324706,-8.670359 -8.223181 0.8265551,-8.202192 -7.587417 1.072231,-7.864114 -7.034822 1.343787,-7.513557 -6.684921 1.65278,-8.626145 -6.08006 0.8786831,-8.484686 -5.057811 1.13353,-8.411637 -4.46669 1.350898,-8.355335 -3.918323 1.474898,-8.93339 -5.952137 0.9830014,-8.834015 -4.77175 1.251197,-8.765605 -4.030285 1.51609,-8.694571 -3.378588 1.697,-9.239975 -6.056134 1.111931,-9.187444 -4.925093 1.387806,-9.143503 -4.200696 1.648657,-9.070868 -3.56551 1.833109,-9.562132 -6.346269 1.277341,-9.64097 -5.487098 1.543044,-9.666576 -4.915327 1.73613,-9.649611 -4.358324 1.865286,0.100,DnF
-1.987787 -6.521569 1.22026,-2.609141 -6.388343 1.685362,-3.147932 -5.638484 2.0185,-3.516024 -5.002271 2.328176,-3.95756 -4.540411 2.673957,-2.811716 -4.139257 2.070557,-3.054489 -3.139032 2.535326,-3.227338 -2.493673 2.861541,-3.425165 -1.941096 3.162736,-2.437432 -3.936898 2.133614,-2.59071 -2.783096 2.704627,-2.751576 -2.075185 3.148052,-2.940206 -1.511095 3.478094,-2.061345 -4.034923 2.237815,-2.150774 -3.010789 2.810504,-2.33675 -2.397958 3.245426,-2.552856 -1.929286 3.559118,-1.686485 -4.404648 2.347015,-1.655781 -3.631599 2.908312,-1.744479 -3.212946 3.288264,-1.860806 -2.920409 3.605374,-9.206339 -8.524235 0.5324706,-8.670359 -8.223181 0.8265551,-8.202192 -7.587417 1.072231,-7.864114 -7.034822 1.343787,-7.513557 -6.684921 1.65278,-8.626145 -6.08006 0.8786831,-8.484686 -5.057811 1.13353,-8.411637 -4.46669 1.350898,-8.355335 -3.918323 1.474898,-8.93339 -5.952137 0.9830014,-8.834015 -4.77175 1.251197,-8.765605 -4.030285 1.51609,-8.694571 -3.378588 1.697,-9.239975 -6.056134 1.111931,-9.187444 -4.925093 1.387806,-9.143503 -4.200696 1.648657,-9.070868 -3.56551 1.833109,-9.562132 -6.346269 1.277341,-9.64097 -5.487098 1.543044,-9.666576 -4.915327 1.73613,-9.649611 -4.358324 1.865286,0.120,DnF
-1.774393 -6.672189 1.85405,-2.609141 -6.388343 2.320072,-3.147932 -5.638484 2.65321,-3.516024 -5.002271 2.962886,-3.95756 -4.540411 3.308667,-2.811716 -4.139257 2.705267,-3.054489 -3.139032 3.170036,-3.227338 -2.493673 3.496251,-3.425165 -1.941096 3.797446,-2.437432 -3.936898 2.768323,-2.59071 -2.783096 3.339337,-2.751576 -2.075185 3.782762,-2.940206 -1.511095 4.112803,-2.061345 -4.034923 2.872525,-2.150774 -3.010789 3.445214,-2.33675 -2.397958 3.880136,-2.552856 -1.929286 4.193829,-1.686485 -4.404648 2.981725,-1.655781 -3.631599 3.543022,-1.744479 -3.212946 3.922974,-1.860806 -2.920409 4.240084,-9.206339 -8.524235 0.5324706,-8.670359 -8.223181 0.8265551,-8.202192 -7.587417 1.072231,-7.864114 -7.034822 1.343787,-7.513557 -6.684921 1.65278,-8.626145 -6.08006 0.8786831,-8.484686 -5.057811 1.13353,-8.411637 -4.46669 1.350898,-8.355335 -3.918323 1.474898,-8.93339 -5.952137 0.9830014,-8.834015 -4.77175 1.251197,-8.765605 -4.030285 1.51609,-8.694571 -3.378588 1.697,-9.239975 -6.056134 1.111931,-9.187444 -4.925093 1.387806,-9.143503 -4.200696 1.648657,-9.070868 -3.56551 1.833109,-9.562132 -6.346269 1.277341,-9.64097 -5.487098 1.543044,-9.666576 -4.915327 1.73613,-9.649611 -4.358324 1.865286,0.140,DnF
-1.774393 -6.672189 0.8477223,-2.41573 -6.459989 1.21633,-2.975496 -5.773464 1.481055,-3.397422 -5.141588 1.723713,-3.804027 -4.743245 2.021333,-2.617033 -4.358665 1.686849,-2.814354 -3.341141 2.119652,-2.974186 -2.746708 2.413784,-3.152824 -2.167296 2.667881,-2.229729 -4.216913 1.797762,-2.383052 -3.047378 2.35092,-2.526772 -2.354141 2.745139,-2.697422 -1.648513 3.096164,-1.8371 -4.372826 1.914929,-1.929984 -3.315717 2.459352,-2.079004 -2.665017 2.875454,-2.245533 -2.058811 3.199332,-1.449679 -4.753237 2.048273,-1.398392 -3.957721 2.556209,-1.438546 -3.433856 2.908086,-1.518893 -2.930601 3.216324,-9.113989 -8.478497 0.507839,-8.57685 -8.192152 0.8682902,-8.092014 -7.585434 1.154239,-7.720458 -7.055789 1.450068,-7.366695 -6.700943 1.763472,-8.505242 -6.070497 0.9595471,-8.373377 -5.039452 1.245777,-8.293177 -4.416773 1.46219,-8.229184 -3.853567 1.595925,-8.8276 -5.928272 1.028261,-8.735698 -4.739826 1.330686,-8.65682 -3.960346 1.607672,-8.587924 -3.303236 1.797265,-9.14844 -6.020692 1.117893,-9.092266 -4.876625 1.424194,-9.021092 -4.133098 1.692954,-8.931294 -3.503889 1.874722,-9.489212 -6.294065 1.245133,-9.560308 -5.409742 1.544236,-9.578061 -4.812912 1.756632,-9.560203 -4.239187 1.892201,0.160,DnF
-1.774393 -6.672189 0.8477223,-2.41573 -6.459989 1.21633,-2.975496 -5.773464 1.481055,-3.397422 -5.141588 1.723713,-3.804027 -4.743245 2.021333,-2.617033 -4.358665 1.686849,-2.814354 -3.341141 2.119652,-2.974186 -2.746708 2.413784,-3.152824 -2.167296 2.667881,-2.229729 -4.216913 1.797762,-2.383052 -3.047378 2.35092,-2.526772 -2.354141 2.745139,-2.697422 -1.648513 3.096164,-1.8371 -4.372826 1.914929,-1.929984 -3.315717 2.459352,-2.079004 -2.665017 2.875454,-2.245533 -2.058811 3.199332,-1.449679 -4.753237 2.048273,-1.398392 -3.957721 2.556209,-1.438546 -3.433856 2.908086,-1.518893 -2.930601 3.216324,-9.113989 -8.478497 0.507839,-8.57685 -8.192152 0.8682902,-8.092014 -7.585434 1.154239,-7.720458 -7.055789 1.450068,-7.366695 -6.700943 1.763472,-8.505242 -6.070497 0.9595471,-8.373377 -5.039452 1.245777,-8.293177 -4.416773 1.46219,-8.229184 -3.853567 1.595925,-8.8276 -5.928272 1.028261,-8.735698 -4.739826 1.330686,-8.65682 -3.960346 1.607672,-8.587924 -3.303236 1.797265,-9.14844 -6.020692 1.117893,-9.092266 -4.876625 1.424194,-9.021092 -4.133098 1.692954,-8.931294 -3.503889 1.874722,-9.489212 -6.294065 1.245133,-9.560308 -5.409742 1.544236,-9.578061 -4.812912 1.756632,-9.560203 -4.239187 1.892201,0.180,DnF
-1.774393 -6.672189 0.8477223,-2.41573 -6.459989 1.21633,-2.975496 -5.773464 1.481055,-3.397422 -5.141588 1.723713,-3.804027 -4.743245 2.021333,-2.617033 -4.358665 1.686849,-2.814354 -3.341141 2.119652,-2.974186 -2.746708 2.413784,-3.152824 -2.167296 2.667881,-2.229729 -4.216913 1.797762,-2.383052 -3.047378 2.35092,-2.526772 -2.354141 2.745139,-2.697422 -1.648513 3.096164,-1.8371 -4.372826 1.914929,-1.929984 -3.315717 2.459352,-2.079004 -2.665017 2.875454,-2.245533 -2.058811 3.199332,-1.449679 -4.753237 2.048273,-1.398392 -3.957721 2.556209,-1.438546 -3.433856 2.908086,-1.518893 -2.930601 3.216324,-9.113989 -8.478497 0.507839,-8.57685 -8.192152 0.8682902,-8.092014 -7.585434 1.154239,-7.720458 -7.055789 1.450068,-7.366695 -6.700943 1.763472,-8.505242 -6.070497 0.9595471,-8.373377 -5.039452 1.245777,-8.293177 -4.416773 1.46219,-8.229184 -3.853567 1.595925,-8.8276 -5.928272 1.028261,-8.735698 -4.739826 1.330686,-8.65682 -3.960346 1.607672,-8.587924 -3.303236 1.797265,-9.14844 -6.020692 1.117893,-9.092266 -4.876625 1.424194,-9.021092 -4.133098 1.692954,-8.931294 -3.503889 1.874722,-9.489212 -6.294065 1.245133,-9.560308 -5.409742 1.544236,-9.578061 -4.812912 1.756632,-9.560203 -4.239187 1.892201,0.200,DnF
