WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.020,Dnf
2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,0.040,DnF
2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,0.060,DnF
2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -7.506176,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,2 0 -8.351543,0.080,DnF
-3.231976 -5.61482 0.9862942,-3.830626 -5.53387 1.441308,-4.351158 -5.217726 1.713761,-4.704369 -4.827597 1.942776,-5.054068 -4.540125 2.165903,-4.038351 -3.530495 1.611814,-4.305683 -2.60977 1.908079,-4.451694 -2.099643 2.148455,-4.593459 -1.653032 2.346244,-3.692011 -3.302673 1.560603,-3.889793 -2.256312 1.883607,-4.010668 -1.673645 2.091222,-4.136753 -1.165762 2.247275,-3.354078 -3.316885 1.554684,-3.472351 -2.321059 1.855327,-3.574266 -1.76761 2.091925,-3.694542 -1.29157 2.271261,-3.004304 -3.50097 1.588376,-3.006418 -2.721189 1.876539,-3.046374 -2.259922 2.088135,-3.113467 -1.836711 2.265612,-9.628749 -7.51987 0.3868951,-9.095267 -7.345729 0.7086033,-8.623421 -6.843772 0.9590696,-8.29266 -6.333339 1.228087,-8.000979 -6.014085 1.483124,-8.931233 -5.303207 0.7252075,-8.752263 -4.328511 0.9628949,-8.659771 -3.739089 1.166299,-8.589898 -3.220305 1.295112,-9.229246 -5.087936 0.7855247,-9.083034 -3.93557 1.004043,-8.983271 -3.201894 1.250269,-8.90029 -2.559672 1.431382,-9.53674 -5.10503 0.8713791,-9.427928 -4.000156 1.094049,-9.34258 -3.304065 1.312096,-9.251231 -2.703 1.471518,-9.866323 -5.29882 0.9918494,-9.886212 -4.426464 1.216761,-9.87583 -3.856729 1.389737,-9.841606 -3.313925 1.50642,0.100,DnF
-3.231976 -5.61482 0.9862942,-3.830626 -5.53387 1.441308,-4.351158 -5.217726 1.713761,-4.704369 -4.827597 1.942776,-5.054068 -4.540125 2.165903,-4.038351 -3.530495 1.611814,-4.305683 -2.60977 1.908079,-4.451694 -2.099643 2.148455,-4.593459 -1.653032 2.346244,-3.692011 -3.302673 1.560603,-3.889793 -2.256312 1.883607,-4.010668 -1.673645 2.091222,-4.136753 -1.165762 2.247275,-3.354078 -3.316885 1.554684,-3.472351 -2.321059 1.855327,-3.574266 -1.76761 2.091925,-3.694542 -1.29157 2.271261,-3.004304 -3.50097 1.588376,-3.006418 -2.721189 1.876539,-3.046374 -2.259922 2.088135,-3.113467 -1.836711 2.265612,-9.628749 -7.51987 0.3868951,-9.095267 -7.345729 0.7086033,-8.623421 -6.843772 0.9590696,-8.29266 -6.333339 1.228087,-8.000979 -6.014085 1.483124,-8.931233 -5.303207 0.7252075,-8.752263 -4.328511 0.9628949,-8.659771 -3.739089 1.166299,-8.589898 -3.220305 1.295112,-9.229246 -5.087936 0.7855247,-9.083034 -3.93557 1.004043,-8.983271 -3.201894 1.250269,-8.90029 -2.559672 1.431382,-9.53674 -5.10503 0.8713791,-9.427928 -4.000156 1.094049,-9.34258 -3.304065 1.312096,-9.251231 -2.703 1.471518,-9.866323 -5.29882 0.9918494,-9.886212 -4.426464 1.216761,-9.87583 -3.856729 1.389737,-9.841606 -3.313925 1.50642,0.120,DnF
-3.231976 -5.61482 0.9862942,-3.830626 -5.53387 1.441308,-4.351158 -5.217726 1.713761,-4.704369 -4.827597 1.942776,-5.054068 -4.540125 2.165903,-4.038351 -3.530495 1.611814,-4.305683 -2.60977 1.908079,-4.451694 -2.099643 2.148455,-4.593459 -1.653032 2.346244,-3.692011 -3.302673 1.560603,-3.889793 -2.256312 1.883607,-4.010668 -1.673645 2.091222,-4.136753 -1.165762 2.247275,-3.354078 -3.316885 1.554684,-3.472351 -2.321059 1.855327,-3.574266 -1.76761 2.091925,-3.694542 -1.29157 2.271261,-3.004304 -3.50097 1.588376,-3.006418 -2.721189 1.876539,-3.046374 -2.259922 2.088135,-3.113467 -1.836711 2.265612,-9.628749 -7.51987 0.3868951,-9.095267 -7.345729 0.7086033,-8.623421 -6.843772 0.9590696,-8.29266 -6.333339 1.228087,-8.000979 -6.014085 1.483124,-8.931233 -5.303207 0.7252075,-8.752263 -4.328511 0.9628949,-8.659771 -3.739089 1.166299,-8.589898 -3.220305 1.295112,-9.229246 -5.087936 0.7855247,-9.083034 -3.93557 1.004043,-8.983271 -3.201894 1.250269,-8.90029 -2.559672 1.431382,-9.53674 -5.10503 0.8713791,-9.427928 -4.000156 1.094049,-9.34258 -3.304065 1.312096,-9.251231 -2.703 1.471518,-9.866323 -5.29882 0.9918494,-9.886212 -4.426464 1.216761,-9.87583 -3.856729 1.389737,-9.841606 -3.313925 1.50642,0.140,DnF
-3.081155 -5.744201 0.7422326,-3.658537 -5.727359 1.228142,-4.16497 -5.460001 1.503486,-4.506995 -5.136415 1.729966,-4.807593 -4.884331 1.959308,-3.866529 -3.726958 1.352477,-4.114782 -2.849572 1.598003,-4.256348 -2.327934 1.823345,-4.377415 -1.857074 2.018766,-3.5316 -3.495744 1.285667,-3.724761 -2.460093 1.533303,-3.837762 -1.877665 1.728213,-3.938406 -1.34049 1.891022,-3.203564 -3.505623 1.268241,-3.304825 -2.536913 1.494851,-3.388243 -2.002021 1.72358,-3.478786 -1.51851 1.913713,-2.872117 -3.683963 1.295303,-2.84722 -2.928051 1.527393,-2.86331 -2.488751 1.711042,-2.905785 -2.068001 1.884297,-9.584714 -7.498874 0.4153763,-9.048748 -7.327531 0.7156025,-8.570983 -6.828088 0.9629015,-8.228556 -6.326282 1.232876,-7.92609 -6.000762 1.493159,-8.887512 -5.249909 0.7293886,-8.705012 -4.272213 0.9584888,-8.606031 -3.691881 1.160839,-8.530667 -3.183602 1.293815,-9.187093 -5.056451 0.8025468,-9.03901 -3.906171 1.014146,-8.934771 -3.178087 1.256516,-8.850927 -2.539002 1.436437,-9.497128 -5.095583 0.9002092,-9.387872 -3.991405 1.118488,-9.29538 -3.295808 1.331393,-9.200328 -2.690028 1.488682,-9.829282 -5.306364 1.029656,-9.842704 -4.422412 1.25256,-9.823047 -3.84394 1.423582,-9.782724 -3.290062 1.534634,0.160,DnF
-3.081155 -5.744201 0.7422326,-3.658537 -5.727359 1.228142,-4.16497 -5.460001 1.503486,-4.506995 -5.136415 1.729966,-4.807593 -4.884331 1.959308,-3.866529 -3.726958 1.352477,-4.114782 -2.849572 1.598003,-4.256348 -2.327934 1.823345,-4.377415 -1.857074 2.018766,-3.5316 -3.495744 1.285667,-3.724761 -2.460093 1.533303,-3.837762 -1.877665 1.728213,-3.938406 -1.34049 1.891022,-3.203564 -3.505623 1.268241,-3.304825 -2.536913 1.494851,-3.388243 -2.002021 1.72358,-3.478786 -1.51851 1.913713,-2.872117 -3.683963 1.295303,-2.84722 -2.928051 1.527393,-2.86331 -2.488751 1.711042,-2.905785 -2.068001 1.884297,-9.584714 -7.498874 0.4153763,-9.048748 -7.327531 0.7156025,-8.570983 -6.828088 0.9629015,-8.228556 -6.326282 1.232876,-7.92609 -6.000762 1.493159,-8.887512 -5.249909 0.7293886,-8.705012 -4.272213 0.9584888,-8.606031 -3.691881 1.160839,-8.530667 -3.183602 1.293815,-9.187093 -5.056451 0.8025468,-9.03901 -3.906171 1.014146,-8.934771 -3.178087 1.256516,-8.850927 -2.539002 1.436437,-9.497128 -5.095583 0.9002092,-9.387872 -3.991405 1.118488,-9.29538 -3.295808 1.331393,-9.200328 -2.690028 1.488682,-9.829282 -5.306364 1.029656,-9.842704 -4.422412 1.25256,-9.823047 -3.84394 1.423582,-9.782724 -3.290062 1.534634,0.180,DnF
-3.081155 -5.744201 0.7422326,-3.658537 -5.727359 1.228142,-4.16497 -5.460001 1.503486,-4.506995 -5.136415 1.729966,-4.807593 -4.884331 1.959308,-3.866529 -3.726958 1.352477,-4.114782 -2.849572 1.598003,-4.256348 -2.327934 1.823345,-4.377415 -1.857074 2.018766,-3.5316 -3.495744 1.285667,-3.724761 -2.460093 1.533303,-3.837762 -1.877665 1.728213,-3.938406 -1.34049 1.891022,-3.203564 -3.505623 1.268241,-3.304825 -2.536913 1.494851,-3.388243 -2.002021 1.72358,-3.478786 -1.51851 1.913713,-2.872117 -3.683963 1.295303,-2.84722 -2.928051 1.527393,-2.86331 -2.488751 1.711042,-2.905785 -2.068001 1.884297,-9.584714 -7.498874 0.4153763,-9.048748 -7.327531 0.7156025,-8.570983 -6.828088 0.9629015,-8.228556 -6.326282 1.232876,-7.92609 -6.000762 1.493159,-8.887512 -5.249909 0.7293886,-8.705012 -4.272213 0.9584888,-8.606031 -3.691881 1.160839,-8.530667 -3.183602 1.293815,-9.187093 -5.056451 0.8025468,-9.03901 -3.906171 1.014146,-8.934771 -3.178087 1.256516,-8.850927 -2.539002 1.436437,-9.497128 -5.095583 0.9002092,-9.387872 -3.991405 1.118488,-9.29538 -3.295808 1.331393,-9.200328 -2.690028 1.488682,-9.829282 -5.306364 1.029656,-9.842704 -4.422412 1.25256,-9.823047 -3.84394 1.423582,-9.782724 -3.290062 1.534634,0.200,DnF
