WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,0.020,Dnf
2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.119089,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,2 0 -9.760046,0.040,DnF
-3.353748 -5.126816 1.191986,-4.123571 -4.953931 1.233671,-4.838905 -4.381961 1.378874,-5.321117 -3.860408 1.610715,-5.848892 -3.493125 1.920875,-4.750725 -2.718938 1.561268,-5.177846 -1.637953 1.967742,-5.518291 -1.099374 2.293957,-5.897269 -0.71594 2.57047,-4.415534 -2.464406 1.872491,-4.826614 -1.324787 2.458797,-5.191854 -0.7695594 2.917498,-5.589093 -0.3720484 3.256773,-4.018433 -2.447139 2.198969,-4.342041 -1.37653 2.730737,-4.65683 -0.7800736 3.132333,-5.014183 -0.3301635 3.436906,-3.573635 -2.632452 2.524881,-3.676597 -1.781736 3.031955,-3.886157 -1.23976 3.372571,-4.162937 -0.7944579 3.645368,-9.856947 -7.237972 0.3192034,-9.206614 -6.983459 0.5480152,-8.682473 -6.344012 0.7480134,-8.324205 -5.669647 0.9666356,-8.007317 -5.287487 1.183729,-9.099011 -4.61962 0.6065395,-8.941483 -3.406028 0.7509196,-8.885738 -2.655855 0.8725171,-8.848209 -2.042231 0.9538923,-9.469733 -4.39758 0.5913957,-9.328235 -3.029785 0.7070339,-9.256556 -2.182527 0.8628115,-9.213042 -1.48234 1.001034,-9.830926 -4.433314 0.5734282,-9.72899 -3.137266 0.6702247,-9.65304 -2.348995 0.7817681,-9.583775 -1.705759 0.8674257,-10.18829 -4.673581 0.5793626,-10.24809 -3.690553 0.6597644,-10.25213 -3.088066 0.7578919,-10.22493 -2.50901 0.8168326,0.060,DnF
-3.353748 -5.126816 1.191986,-4.123571 -4.953931 1.233671,-4.838905 -4.381961 1.378874,-5.321117 -3.860408 1.610715,-5.848892 -3.493125 1.920875,-4.750725 -2.718938 1.561268,-5.177846 -1.637953 1.967742,-5.518291 -1.099374 2.293957,-5.897269 -0.71594 2.57047,-4.415534 -2.464406 1.872491,-4.826614 -1.324787 2.458797,-5.191854 -0.7695594 2.917498,-5.589093 -0.3720484 3.256773,-4.018433 -2.447139 2.198969,-4.342041 -1.37653 2.730737,-4.65683 -0.7800736 3.132333,-5.014183 -0.3301635 3.436906,-3.573635 -2.632452 2.524881,-3.676597 -1.781736 3.031955,-3.886157 -1.23976 3.372571,-4.162937 -0.7944579 3.645368,-9.856947 -7.237972 0.3192034,-9.206614 -6.983459 0.5480152,-8.682473 -6.344012 0.7480134,-8.324205 -5.669647 0.9666356,-8.007317 -5.287487 1.183729,-9.099011 -4.61962 0.6065395,-8.941483 -3.406028 0.7509196,-8.885738 -2.655855 0.8725171,-8.848209 -2.042231 0.9538923,-9.469733 -4.39758 0.5913957,-9.328235 -3.029785 0.7070339,-9.256556 -2.182527 0.8628115,-9.213042 -1.48234 1.001034,-9.830926 -4.433314 0.5734282,-9.72899 -3.137266 0.6702247,-9.65304 -2.348995 0.7817681,-9.583775 -1.705759 0.8674257,-10.18829 -4.673581 0.5793626,-10.24809 -3.690553 0.6597644,-10.25213 -3.088066 0.7578919,-10.22493 -2.50901 0.8168326,0.080,DnF
-3.353748 -5.126816 1.191986,-4.123571 -4.953931 1.233671,-4.838905 -4.381961 1.378874,-5.321117 -3.860408 1.610715,-5.848892 -3.493125 1.920875,-4.750725 -2.718938 1.561268,-5.177846 -1.637953 1.967742,-5.518291 -1.099374 2.293957,-5.897269 -0.71594 2.57047,-4.415534 -2.464406 1.872491,-4.826614 -1.324787 2.458797,-5.191854 -0.7695594 2.917498,-5.589093 -0.3720484 3.256773,-4.018433 -2.447139 2.198969,-4.342041 -1.37653 2.730737,-4.65683 -0.7800736 3.132333,-5.014183 -0.3301635 3.436906,-3.573635 -2.632452 2.524881,-3.676597 -1.781736 3.031955,-3.886157 -1.23976 3.372571,-4.162937 -0.7944579 3.645368,-9.856947 -7.237972 0.3192034,-9.206614 -6.983459 0.5480152,-8.682473 -6.344012 0.7480134,-8.324205 -5.669647 0.9666356,-8.007317 -5.287487 1.183729,-9.099011 -4.61962 0.6065395,-8.941483 -3.406028 0.7509196,-8.885738 -2.655855 0.8725171,-8.848209 -2.042231 0.9538923,-9.469733 -4.39758 0.5913957,-9.328235 -3.029785 0.7070339,-9.256556 -2.182527 0.8628115,-9.213042 -1.48234 1.001034,-9.830926 -4.433314 0.5734282,-9.72899 -3.137266 0.6702247,-9.65304 -2.348995 0.7817681,-9.583775 -1.705759 0.8674257,-10.18829 -4.673581 0.5793626,-10.24809 -3.690553 0.6597644,-10.25213 -3.088066 0.7578919,-10.22493 -2.50901 0.8168326,0.100,DnF
-3.353748 -5.126816 1.191986,-4.123571 -4.953931 1.233671,-4.838905 -4.381961 1.378874,-5.321117 -3.860408 1.610715,-5.848892 -3.493125 1.920875,-4.750725 -2.718938 1.561268,-5.177846 -1.637953 1.967742,-5.518291 -1.099374 2.293957,-5.897269 -0.71594 2.57047,-4.415534 -2.464406 1.872491,-4.826614 -1.324787 2.458797,-5.191854 -0.7695594 2.917498,-5.589093 -0.3720484 3.256773,-4.018433 -2.447139 2.198969,-4.342041 -1.37653 2.730737,-4.65683 -0.7800736 3.132333,-5.014183 -0.3301635 3.436906,-3.573635 -2.632452 2.524881,-3.676597 -1.781736 3.031955,-3.886157 -1.23976 3.372571,-4.162937 -0.7944579 3.645368,-9.856947 -7.237972 0.3192034,-9.206614 -6.983459 0.5480152,-8.682473 -6.344012 0.7480134,-8.324205 -5.669647 0.9666356,-8.007317 -5.287487 1.183729,-9.099011 -4.61962 0.6065395,-8.941483 -3.406028 0.7509196,-8.885738 -2.655855 0.8725171,-8.848209 -2.042231 0.9538923,-9.469733 -4.39758 0.5913957,-9.328235 -3.029785 0.7070339,-9.256556 -2.182527 0.8628115,-9.213042 -1.48234 1.001034,-9.830926 -4.433314 0.5734282,-9.72899 -3.137266 0.6702247,-9.65304 -2.348995 0.7817681,-9.583775 -1.705759 0.8674257,-10.18829 -4.673581 0.5793626,-10.24809 -3.690553 0.6597644,-10.25213 -3.088066 0.7578919,-10.22493 -2.50901 0.8168326,0.120,DnF
-3.114532 -5.225215 1.305277,-3.85245 -5.027032 1.380336,-4.541793 -4.400634 1.479506,-5.019294 -3.847631 1.64097,-5.528967 -3.54685 1.88092,-4.41426 -2.7181 1.569351,-4.842535 -1.700369 1.882212,-5.151453 -1.145307 2.134854,-5.48895 -0.696259 2.363994,-4.071676 -2.451152 1.814278,-4.453461 -1.318867 2.294355,-4.751801 -0.7370601 2.673267,-5.080862 -0.2736688 2.961946,-3.667389 -2.422943 2.088264,-3.972051 -1.354435 2.527725,-4.230488 -0.7392621 2.869197,-4.541563 -0.2560353 3.125878,-3.215752 -2.601607 2.367854,-3.306942 -1.735537 2.793372,-3.469761 -1.193275 3.071063,-3.693998 -0.7463651 3.314117,-9.82033 -7.267719 0.4334837,-9.178381 -7.001722 0.7005415,-8.649134 -6.354486 0.9218748,-8.285987 -5.674549 1.16256,-7.970998 -5.268116 1.391191,-9.073116 -4.62393 0.7799115,-8.910909 -3.439199 0.969017,-8.85596 -2.699741 1.124444,-8.822488 -2.084359 1.230875,-9.4454 -4.400039 0.7753502,-9.307215 -3.052117 0.9309545,-9.240067 -2.204263 1.126215,-9.20377 -1.488609 1.294545,-9.808298 -4.445067 0.7752876,-9.725881 -3.176357 0.9075939,-9.656944 -2.39291 1.050651,-9.594436 -1.742902 1.158184,-10.171 -4.704343 0.7997873,-10.2457 -3.744745 0.9197565,-10.25265 -3.141222 1.043319,-10.2246 -2.558102 1.119394,0.140,DnF
-3.114532 -5.225215 1.305277,-3.85245 -5.027032 1.380336,-4.541793 -4.400634 1.479506,-5.019294 -3.847631 1.64097,-5.528967 -3.54685 1.88092,-4.41426 -2.7181 1.569351,-4.842535 -1.700369 1.882212,-5.151453 -1.145307 2.134854,-5.48895 -0.696259 2.363994,-4.071676 -2.451152 1.814278,-4.453461 -1.318867 2.294355,-4.751801 -0.7370601 2.673267,-5.080862 -0.2736688 2.961946,-3.667389 -2.422943 2.088264,-3.972051 -1.354435 2.527725,-4.230488 -0.7392621 2.869197,-4.541563 -0.2560353 3.125878,-3.215752 -2.601607 2.367854,-3.306942 -1.735537 2.793372,-3.469761 -1.193275 3.071063,-3.693998 -0.7463651 3.314117,-9.82033 -7.267719 0.4334837,-9.178381 -7.001722 0.7005415,-8.649134 -6.354486 0.9218748,-8.285987 -5.674549 1.16256,-7.970998 -5.268116 1.391191,-9.073116 -4.62393 0.7799115,-8.910909 -3.439199 0.969017,-8.85596 -2.699741 1.124444,-8.822488 -2.084359 1.230875,-9.4454 -4.400039 0.7753502,-9.307215 -3.052117 0.9309545,-9.240067 -2.204263 1.126215,-9.20377 -1.488609 1.294545,-9.808298 -4.445067 0.7752876,-9.725881 -3.176357 0.9075939,-9.656944 -2.39291 1.050651,-9.594436 -1.742902 1.158184,-10.171 -4.704343 0.7997873,-10.2457 -3.744745 0.9197565,-10.25265 -3.141222 1.043319,-10.2246 -2.558102 1.119394,0.160,DnF
-3.114532 -5.225215 1.305277,-3.85245 -5.027032 1.380336,-4.541793 -4.400634 1.479506,-5.019294 -3.847631 1.64097,-5.528967 -3.54685 1.88092,-4.41426 -2.7181 1.569351,-4.842535 -1.700369 1.882212,-5.151453 -1.145307 2.134854,-5.48895 -0.696259 2.363994,-4.071676 -2.451152 1.814278,-4.453461 -1.318867 2.294355,-4.751801 -0.7370601 2.673267,-5.080862 -0.2736688 2.961946,-3.667389 -2.422943 2.088264,-3.972051 -1.354435 2.527725,-4.230488 -0.7392621 2.869197,-4.541563 -0.2560353 3.125878,-3.215752 -2.601607 2.367854,-3.306942 -1.735537 2.793372,-3.469761 -1.193275 3.071063,-3.693998 -0.7463651 3.314117,-9.82033 -7.267719 0.4334837,-9.178381 -7.001722 0.7005415,-8.649134 -6.354486 0.9218748,-8.285987 -5.674549 1.16256,-7.970998 -5.268116 1.391191,-9.073116 -4.62393 0.7799115,-8.910909 -3.439199 0.969017,-8.85596 -2.699741 1.124444,-8.822488 -2.084359 1.230875,-9.4454 -4.400039 0.7753502,-9.307215 -3.052117 0.9309545,-9.240067 -2.204263 1.126215,-9.20377 -1.488609 1.294545,-9.808298 -4.445067 0.7752876,-9.725881 -3.176357 0.9075939,-9.656944 -2.39291 1.050651,-9.594436 -1.742902 1.158184,-10.171 -4.704343 0.7997873,-10.2457 -3.744745 0.9197565,-10.25265 -3.141222 1.043319,-10.2246 -2.558102 1.119394,0.180,DnF
-2.85907 -5.301763 1.289551,-3.592544 -5.091909 1.339981,-4.263308 -4.432083 1.423469,-4.760712 -3.901783 1.565719,-5.244478 -3.65273 1.796201,-4.055213 -2.722837 1.429202,-4.436178 -1.708548 1.647679,-4.726594 -1.136072 1.871077,-5.033023 -0.6742311 2.08635,-3.714196 -2.479291 1.672214,-4.050993 -1.358881 2.035336,-4.345003 -0.7488809 2.380982,-4.660467 -0.2900567 2.658212,-3.313444 -2.487907 1.942438,-3.56093 -1.395065 2.272893,-3.792439 -0.7691369 2.588783,-4.073372 -0.3145142 2.827146,-2.881464 -2.718993 2.223667,-2.925902 -1.839541 2.577159,-3.069693 -1.280729 2.823805,-3.275902 -0.8467631 3.062094,-9.807252 -7.257958 0.4004298,-9.164537 -7.000017 0.6925595,-8.629501 -6.356586 0.9321208,-8.27036 -5.678133 1.18798,-7.949695 -5.272232 1.440449,-9.05275 -4.627557 0.7819504,-8.8956 -3.418499 0.9880989,-8.835028 -2.671233 1.149509,-8.793447 -2.04206 1.258739,-9.427133 -4.405897 0.7843044,-9.286369 -3.049126 0.962545,-9.215006 -2.204925 1.157739,-9.16949 -1.485074 1.324707,-9.790934 -4.444652 0.7924293,-9.690335 -3.156893 0.9439999,-9.617164 -2.374482 1.085873,-9.547857 -1.716598 1.192112,-10.1549 -4.688709 0.8267618,-10.21481 -3.713592 0.957502,-10.22016 -3.10498 1.074611,-10.19123 -2.509115 1.150534,0.200,DnF
