WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.020,Dnf
-3.513762 -6.989923 -0.8738078,-4.171762 -7.261564 -0.1229787,-4.676851 -7.007338 0.3643593,-5.072868 -6.594117 0.7259884,-5.373138 -6.336677 1.008079,-4.420622 -5.078357 0.1167378,-4.639156 -4.021966 0.5283402,-4.629194 -3.719862 0.935392,-4.546127 -3.77953 1.224771,-3.987116 -4.826398 -0.08659196,-4.032473 -3.720813 0.2512052,-3.881689 -3.329317 0.6169667,-3.726765 -3.294562 0.9401064,-3.59997 -4.955826 -0.2577475,-3.550153 -3.958883 -0.001767635,-3.376416 -3.680809 0.3944839,-3.248632 -3.692241 0.6960759,-3.287619 -5.324132 -0.3651756,-3.091199 -4.760217 -0.05763495,-2.8908 -4.600009 0.2618657,-2.783624 -4.629466 0.5292499,-10.44993 -8.589046 0.2446678,-9.864239 -8.331469 0.6425595,-9.404372 -7.726301 0.9251585,-9.142519 -7.046915 1.220469,-8.923836 -6.552562 1.498343,-9.800553 -6.066411 0.6138002,-9.677137 -5.003818 0.8451737,-9.630304 -4.344289 1.056247,-9.604041 -3.783208 1.186013,-10.14044 -5.863515 0.6272986,-10.05291 -4.582576 0.8044412,-10.00453 -3.785765 1.038626,-9.97636 -3.094991 1.212151,-10.47389 -5.913967 0.6752436,-10.42521 -4.723581 0.8524402,-10.39079 -3.968023 1.058888,-10.34814 -3.322961 1.214149,-10.81703 -6.171983 0.7698641,-10.8946 -5.249717 0.9456791,-10.92524 -4.652078 1.104696,-10.92397 -4.087286 1.220014,0.040,DnF
-3.513762 -6.989923 -0.8738078,-4.171762 -7.261564 -0.1229787,-4.676851 -7.007338 0.3643593,-5.072868 -6.594117 0.7259884,-5.373138 -6.336677 1.008079,-4.420622 -5.078357 0.1167378,-4.639156 -4.021966 0.5283402,-4.629194 -3.719862 0.935392,-4.546127 -3.77953 1.224771,-3.987116 -4.826398 -0.08659196,-4.032473 -3.720813 0.2512052,-3.881689 -3.329317 0.6169667,-3.726765 -3.294562 0.9401064,-3.59997 -4.955826 -0.2577475,-3.550153 -3.958883 -0.001767635,-3.376416 -3.680809 0.3944839,-3.248632 -3.692241 0.6960759,-3.287619 -5.324132 -0.3651756,-3.091199 -4.760217 -0.05763495,-2.8908 -4.600009 0.2618657,-2.783624 -4.629466 0.5292499,-10.44993 -8.589046 0.2446678,-9.864239 -8.331469 0.6425595,-9.404372 -7.726301 0.9251585,-9.142519 -7.046915 1.220469,-8.923836 -6.552562 1.498343,-9.800553 -6.066411 0.6138002,-9.677137 -5.003818 0.8451737,-9.630304 -4.344289 1.056247,-9.604041 -3.783208 1.186013,-10.14044 -5.863515 0.6272986,-10.05291 -4.582576 0.8044412,-10.00453 -3.785765 1.038626,-9.97636 -3.094991 1.212151,-10.47389 -5.913967 0.6752436,-10.42521 -4.723581 0.8524402,-10.39079 -3.968023 1.058888,-10.34814 -3.322961 1.214149,-10.81703 -6.171983 0.7698641,-10.8946 -5.249717 0.9456791,-10.92524 -4.652078 1.104696,-10.92397 -4.087286 1.220014,0.060,DnF
-3.479238 -7.004161 -1.127708,-4.02763 -7.387153 -0.02619754,-4.778367 -7.119453 0.4376324,-5.233331 -6.527194 0.8387308,-5.588434 -6.089244 1.242155,-4.478516 -5.249353 0.2130083,-4.867463 -4.187651 0.4589538,-4.957881 -3.69853 0.9683779,-4.824241 -3.747218 1.442098,-3.973365 -4.847812 -0.1648367,-4.15911 -3.645682 0.1126721,-3.985017 -3.107727 0.6164041,-3.826287 -3.164596 1.164714,-3.407541 -4.872836 -0.4359571,-3.550218 -3.936718 -0.2250663,-3.322788 -3.556494 0.3117371,-3.255655 -3.756189 0.8589978,-3.02561 -5.446796 -0.5609208,-2.662614 -4.695236 -0.2383256,-2.519704 -4.400623 0.2994602,-2.841368 -4.591899 0.9258078,-10.44993 -8.589046 0.2446678,-9.744388 -8.198088 0.7585201,-9.403475 -7.471416 1.078041,-9.219069 -6.588079 1.428934,-8.23908 -6.21587 1.654736,-9.623803 -6.39709 0.5399196,-9.540847 -5.204332 0.7964873,-9.333671 -4.3469 1.069649,-9.261961 -3.622588 1.241251,-10.03994 -5.989362 0.4781378,-9.951088 -4.551055 0.6944268,-9.827977 -3.639634 1.010519,-9.678221 -2.759426 1.25029,-10.50418 -6.075021 0.5687475,-10.48295 -4.742855 0.797599,-10.42082 -3.826953 1.068799,-10.26889 -3.005479 1.288846,-10.98873 -6.449676 0.7617661,-11.0765 -5.415458 0.9731184,-11.10429 -4.616405 1.234177,-11.14772 -3.876634 1.358712,0.080,DnF
-3.529495 -7.010843 -1.348856,-3.995434 -7.441907 0.1404498,-4.858698 -7.240863 0.5104055,-5.252699 -6.541226 0.873914,-5.523257 -5.922994 1.369587,-4.500259 -5.4065 0.2971102,-4.926441 -4.330879 0.3691999,-5.27231 -3.693567 0.970563,-5.11587 -3.700447 1.646125,-3.952835 -4.818356 -0.2141525,-4.35356 -3.552377 0.02043298,-4.065006 -2.861145 0.6241242,-3.931917 -3.043008 1.368499,-3.218044 -4.759225 -0.6067238,-3.543888 -3.822278 -0.4121882,-3.316364 -3.393428 0.3066615,-3.359877 -3.752097 1.027832,-2.821491 -5.472558 -0.7184421,-2.272666 -4.666208 -0.4191914,-2.145254 -4.263498 0.3055891,-2.963427 -4.647287 1.221939,-10.44993 -8.589046 0.2446678,-9.605555 -8.103828 0.8684233,-9.362069 -7.126724 1.277542,-9.349104 -6.188726 1.648425,-7.539234 -5.954056 1.76758,-9.433439 -6.713916 0.4554835,-9.411107 -5.302161 0.7719098,-9.018996 -4.38136 1.09774,-8.949671 -3.462524 1.286124,-9.855781 -6.070031 0.3025686,-9.841337 -4.460739 0.6012189,-9.689969 -3.530712 0.9669158,-9.356495 -2.547765 1.278331,-10.46582 -6.166852 0.4492849,-10.55338 -4.72969 0.7350405,-10.49563 -3.698798 1.065151,-10.17276 -2.777893 1.338393,-11.07721 -6.656738 0.7656102,-11.21198 -5.464791 0.9924093,-11.24237 -4.570907 1.372546,-11.3494 -3.654715 1.504493,0.100,DnF
-2.932006 -7.282203 -0.1521535,-3.57394 -7.577489 0.5960834,-4.079733 -7.350126 1.061569,-4.494404 -7.059949 1.431511,-4.829584 -6.837095 1.842786,-3.82848 -5.148426 0.7271744,-4.109486 -4.130181 1.133832,-4.171165 -3.748182 1.555001,-4.136679 -3.716426 1.882221,-3.45116 -4.882284 0.5597176,-3.593468 -3.787656 0.9959048,-3.535686 -3.387984 1.321008,-3.434996 -3.353094 1.596856,-3.121023 -4.985409 0.4315119,-3.150089 -3.991418 0.8537074,-3.054743 -3.657465 1.232374,-2.979658 -3.593514 1.491488,-2.853556 -5.340747 0.3645768,-2.770883 -4.790776 0.8609885,-2.636877 -4.572601 1.20597,-2.566589 -4.530061 1.469074,-10.3588 -8.580835 0.3124231,-9.771037 -8.322084 0.7340922,-9.291916 -7.69683 1.02607,-9.016279 -7.016694 1.326982,-8.762985 -6.507917 1.618167,-9.677629 -6.043445 0.7024286,-9.525758 -4.989761 0.9603669,-9.466687 -4.342168 1.181004,-9.436112 -3.77168 1.312588,-10.02237 -5.842562 0.7214341,-9.916997 -4.582098 0.932113,-9.872282 -3.790555 1.18595,-9.849574 -3.118751 1.359217,-10.36186 -5.904274 0.772482,-10.29524 -4.723146 0.998197,-10.26175 -3.955112 1.24467,-10.22035 -3.311808 1.422021,-10.7193 -6.169544 0.8821272,-10.77626 -5.261673 1.110814,-10.80435 -4.662727 1.307908,-10.80031 -4.111007 1.436106,0.120,DnF
-2.932006 -7.282203 -0.1521535,-3.57394 -7.577489 0.5960834,-4.079733 -7.350126 1.061569,-4.494404 -7.059949 1.431511,-4.829584 -6.837095 1.842786,-3.82848 -5.148426 0.7271744,-4.109486 -4.130181 1.133832,-4.171165 -3.748182 1.555001,-4.136679 -3.716426 1.882221,-3.45116 -4.882284 0.5597176,-3.593468 -3.787656 0.9959048,-3.535686 -3.387984 1.321008,-3.434996 -3.353094 1.596856,-3.121023 -4.985409 0.4315119,-3.150089 -3.991418 0.8537074,-3.054743 -3.657465 1.232374,-2.979658 -3.593514 1.491488,-2.853556 -5.340747 0.3645768,-2.770883 -4.790776 0.8609885,-2.636877 -4.572601 1.20597,-2.566589 -4.530061 1.469074,-10.3588 -8.580835 0.3124231,-9.771037 -8.322084 0.7340922,-9.291916 -7.69683 1.02607,-9.016279 -7.016694 1.326982,-8.762985 -6.507917 1.618167,-9.677629 -6.043445 0.7024286,-9.525758 -4.989761 0.9603669,-9.466687 -4.342168 1.181004,-9.436112 -3.77168 1.312588,-10.02237 -5.842562 0.7214341,-9.916997 -4.582098 0.932113,-9.872282 -3.790555 1.18595,-9.849574 -3.118751 1.359217,-10.36186 -5.904274 0.772482,-10.29524 -4.723146 0.998197,-10.26175 -3.955112 1.24467,-10.22035 -3.311808 1.422021,-10.7193 -6.169544 0.8821272,-10.77626 -5.261673 1.110814,-10.80435 -4.662727 1.307908,-10.80031 -4.111007 1.436106,0.140,DnF
-2.932006 -7.282203 -0.1521535,-3.57394 -7.577489 0.5960834,-4.079733 -7.350126 1.061569,-4.494404 -7.059949 1.431511,-4.829584 -6.837095 1.842786,-3.82848 -5.148426 0.7271744,-4.109486 -4.130181 1.133832,-4.171165 -3.748182 1.555001,-4.136679 -3.716426 1.882221,-3.45116 -4.882284 0.5597176,-3.593468 -3.787656 0.9959048,-3.535686 -3.387984 1.321008,-3.434996 -3.353094 1.596856,-3.121023 -4.985409 0.4315119,-3.150089 -3.991418 0.8537074,-3.054743 -3.657465 1.232374,-2.979658 -3.593514 1.491488,-2.853556 -5.340747 0.3645768,-2.770883 -4.790776 0.8609885,-2.636877 -4.572601 1.20597,-2.566589 -4.530061 1.469074,-10.3588 -8.580835 0.3124231,-9.771037 -8.322084 0.7340922,-9.291916 -7.69683 1.02607,-9.016279 -7.016694 1.326982,-8.762985 -6.507917 1.618167,-9.677629 -6.043445 0.7024286,-9.525758 -4.989761 0.9603669,-9.466687 -4.342168 1.181004,-9.436112 -3.77168 1.312588,-10.02237 -5.842562 0.7214341,-9.916997 -4.582098 0.932113,-9.872282 -3.790555 1.18595,-9.849574 -3.118751 1.359217,-10.36186 -5.904274 0.772482,-10.29524 -4.723146 0.998197,-10.26175 -3.955112 1.24467,-10.22035 -3.311808 1.422021,-10.7193 -6.169544 0.8821272,-10.77626 -5.261673 1.110814,-10.80435 -4.662727 1.307908,-10.80031 -4.111007 1.436106,0.160,DnF
-2.648916 -7.447683 0.08936715,-3.257652 -7.796342 0.9121414,-3.784311 -7.54935 1.349152,-4.170404 -7.259675 1.668257,-4.510562 -6.994756 2.01221,-3.587419 -5.274972 1.113899,-3.860223 -4.305904 1.418503,-3.993252 -3.746082 1.7191,-4.07316 -3.243899 1.990052,-3.173079 -5.014856 0.9265698,-3.334263 -3.961141 1.286099,-3.340944 -3.282335 1.644985,-3.34656 -2.792401 1.954121,-2.800175 -5.143304 0.7906883,-2.842076 -4.193115 1.165879,-2.777221 -3.557563 1.565801,-2.747964 -3.126957 1.923859,-2.48381 -5.538929 0.720971,-2.351354 -4.968456 1.193832,-2.222938 -4.580894 1.609701,-2.178982 -4.338245 1.960938,-10.30389 -8.571486 0.3300518,-9.714097 -8.33045 0.7490345,-9.231443 -7.724605 1.046854,-8.955393 -7.044663 1.352168,-8.734555 -6.525272 1.638277,-9.617026 -6.050441 0.7652881,-9.471414 -5.001152 1.044056,-9.415897 -4.346464 1.269142,-9.387983 -3.778924 1.393483,-9.963208 -5.835737 0.7842885,-9.862342 -4.574536 1.013691,-9.813778 -3.773727 1.273751,-9.789759 -3.087488 1.455866,-10.30791 -5.890934 0.8358152,-10.25349 -4.708513 1.063061,-10.21743 -3.954516 1.304604,-10.17246 -3.312044 1.480397,-10.66903 -6.153871 0.9350812,-10.73977 -5.253057 1.152754,-10.76468 -4.652851 1.340705,-10.7542 -4.089324 1.477231,0.180,DnF
-2.648916 -7.447683 0.08936715,-3.257652 -7.796342 0.9121414,-3.784311 -7.54935 1.349152,-4.170404 -7.259675 1.668257,-4.510562 -6.994756 2.01221,-3.587419 -5.274972 1.113899,-3.860223 -4.305904 1.418503,-3.993252 -3.746082 1.7191,-4.07316 -3.243899 1.990052,-3.173079 -5.014856 0.9265698,-3.334263 -3.961141 1.286099,-3.340944 -3.282335 1.644985,-3.34656 -2.792401 1.954121,-2.800175 -5.143304 0.7906883,-2.842076 -4.193115 1.165879,-2.777221 -3.557563 1.565801,-2.747964 -3.126957 1.923859,-2.48381 -5.538929 0.720971,-2.351354 -4.968456 1.193832,-2.222938 -4.580894 1.609701,-2.178982 -4.338245 1.960938,-10.30389 -8.571486 0.3300518,-9.714097 -8.33045 0.7490345,-9.231443 -7.724605 1.046854,-8.955393 -7.044663 1.352168,-8.734555 -6.525272 1.638277,-9.617026 -6.050441 0.7652881,-9.471414 -5.001152 1.044056,-9.415897 -4.346464 1.269142,-9.387983 -3.778924 1.393483,-9.963208 -5.835737 0.7842885,-9.862342 -4.574536 1.013691,-9.813778 -3.773727 1.273751,-9.789759 -3.087488 1.455866,-10.30791 -5.890934 0.8358152,-10.25349 -4.708513 1.063061,-10.21743 -3.954516 1.304604,-10.17246 -3.312044 1.480397,-10.66903 -6.153871 0.9350812,-10.73977 -5.253057 1.152754,-10.76468 -4.652851 1.340705,-10.7542 -4.089324 1.477231,0.200,DnF
