WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.010,
6.001358 0 0,5.928117 0 0,4.516613 0 0,4.072714 0 0,6.589068 0 0,7.321363 0 0,9.243755 0 0,3.14102 0 0,3.8192 0 0,5.69303 0 0,5.150422 0 0,8.368376 0 0,4.023241 0 0,8.043564 0 0,3.116802 0 0,5.359374 0 0,2.909493 0 0,6.572905 0 0,10.06006 0 0,7.321414 0 0,2.699999 0 0,2 0 0,4.366899 0 0,4.350749 0 0,2.699999 0 0,10.74778 0 0,2.862576 0 0,2.699999 0 0,6.617637 0 0,6.640349 0 0,5.290222 0 0,3.859002 0 0,4.464664 0 0,7.459109 0 0,9.849041 0 0,9.062873 0 0,2.699999 0 0,8.131864 0 0,5.229125 0 0,5.928498 0 0,8.561922 0 0,7.409559 0 0,0.110,
2.81071 0 0,2.871942 0 0,2.58532 0 0,2.436685 0 0,2.991218 0 0,3.146693 0 0,3.589542 0 0,2.276355 0 0,2.376355 0 0,2.816217 0 0,2.653301 0 0,3.447164 0 0,2.419535 0 0,3.331071 0 0,2.26767 0 0,2.76087 0 0,2.232955 0 0,2.971941 0 0,3.759128 0 0,3.146693 0 0,2.127517 0 0,2 0 0,2.534573 0 0,2.518816 0 0,2.1 0 0,3.859128 0 0,2.215366 0 0,2.1 0 0,3.046692 0 0,3.046692 0 0,2.71071 0 0,2.38504 0 0,2.567931 0 0,3.229253 0 0,3.689542 0 0,3.547163 0 0,2.105236 0 0,3.329253 0 0,2.678004 0 0,2.891217 0 0,3.428621 0 0,3.231071 0 0,0.210,
2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.310,
2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.410,
2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.510,
3.124336 0 0,3.315977 0 0,2.854656 0 0,2.632322 0 0,3.442813 0 0,3.713888 0 0,4.33964 0 0,2.414903 0 0,2.514904 0 0,3.194963 0 0,2.954657 0 0,4.170489 0 0,2.607322 0 0,4.01096 0 0,2.389903 0 0,3.135956 0 0,2.325459 0 0,3.415977 0 0,4.522408 0 0,3.675343 0 0,2.200459 0 0,2 0 0,2.757322 0 0,2.732322 0 0,2.1 0 0,4.622408 0 0,2.300459 0 0,2.1 0 0,3.575343 0 0,3.542813 0 0,3.024336 0 0,2.539903 0 0,2.828762 0 0,3.858966 0 0,4.43964 0 0,4.27049 0 0,2.175459 0 0,3.958966 0 0,2.979534 0 0,3.294962 0 0,4.11096 0 0,3.813888 0 0,0.610,
3.170792 0 0,3.384655 0 0,2.891509 0 0,2.661675 0 0,3.519631 0 0,3.80534 0 0,4.448721 0 0,2.435978 0 0,2.535978 0 0,3.255122 0 0,2.991509 0 0,4.276937 0 0,2.636675 0 0,4.113528 0 0,2.410978 0 0,3.191764 0 0,2.3368 0 0,3.484655 0 0,4.63282 0 0,3.759822 0 0,2.2118 0 0,2 0 0,2.786675 0 0,2.761675 0 0,2.1 0 0,4.732821 0 0,2.3118 0 0,2.1 0 0,3.659822 0 0,3.619631 0 0,3.070792 0 0,2.560978 0 0,2.864571 0 0,3.956497 0 0,4.54872 0 0,4.376936 0 0,2.1868 0 0,4.056498 0 0,3.018447 0 0,3.355122 0 0,4.213528 0 0,3.90534 0 0,0.710,
3.218471 0 0,3.448252 0 0,2.931393 0 0,2.689912 0 0,3.589175 0 0,3.88543 0 0,4.541286 0 0,2.456593 0 0,2.556593 0 0,3.312518 0 0,3.031393 0 0,4.367643 0 0,2.662524 0 0,4.201497 0 0,2.430849 0 0,3.246006 0 0,2.352908 0 0,3.548252 0 0,4.726325 0 0,3.834921 0 0,2.226768 0 0,2 0 0,2.8173 0 0,2.789912 0 0,2.1 0 0,4.826325 0 0,2.326768 0 0,2.109183 0 0,3.734921 0 0,3.689175 0 0,3.118471 0 0,2.582337 0 0,2.901963 0 0,4.040904 0 0,4.641286 0 0,4.467644 0 0,2.200629 0 0,4.140904 0 0,3.060823 0 0,3.412518 0 0,4.301497 0 0,3.98543 0 0,0.810,
2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,2 0 0,0.910,
