WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.010,
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.110, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.210, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.310, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.410, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.510, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.610, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.710, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.810, 0
2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -9.652423,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,0.910, 0
-3.607122 -13.8163 -4.235861,-3.456126 -13.08043 -4.421376,-3.275872 -12.52983 -4.34324,-3.058235 -12.19106 -4.241104,-2.856655 -11.95744 -4.122195,-3.388336 -12.17298 -3.878243,-2.951918 -11.68558 -3.765923,-2.651879 -11.68318 -3.796266,-2.478611 -11.80865 -3.848807,-3.378794 -12.38273 -3.699928,-2.823716 -11.87372 -3.523589,-2.514629 -11.9227 -3.630947,-2.37449 -12.08841 -3.734523,-3.315258 -12.64542 -3.552577,-2.771782 -12.18047 -3.444001,-2.500495 -12.2328 -3.589445,-2.379713 -12.38029 -3.741479,-3.219478 -12.94114 -3.414103,-2.803668 -12.59322 -3.399122,-2.575877 -12.53422 -3.499388,-2.438808 -12.55649 -3.600167,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,1.010, 1
-3.607122 -13.8163 -4.235861,-3.456126 -13.08043 -4.421376,-3.275872 -12.52983 -4.34324,-3.058235 -12.19106 -4.241104,-2.856655 -11.95744 -4.122195,-3.388336 -12.17298 -3.878243,-2.951918 -11.68558 -3.765923,-2.651879 -11.68318 -3.796266,-2.478611 -11.80865 -3.848807,-3.378794 -12.38273 -3.699928,-2.823716 -11.87372 -3.523589,-2.514629 -11.9227 -3.630947,-2.37449 -12.08841 -3.734523,-3.315258 -12.64542 -3.552577,-2.771782 -12.18047 -3.444001,-2.500495 -12.2328 -3.589445,-2.379713 -12.38029 -3.741479,-3.219478 -12.94114 -3.414103,-2.803668 -12.59322 -3.399122,-2.575877 -12.53422 -3.499388,-2.438808 -12.55649 -3.600167,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,2 0 -10.4906,1.110, 1
