WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.010,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.110,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.210,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.310,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.410,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.510,
2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -7.258568,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.610,
-1.209867 -14.24326 0.001164793,-1.579521 -13.48776 -0.3377736,-1.816953 -12.85292 -0.4417538,-1.938052 -12.40184 -0.4798107,-1.990645 -12.07843 -0.4353414,-1.840264 -12.22421 -0.3146458,-2.130067 -11.87148 -0.4537968,-2.130948 -11.95949 -0.4581943,-2.090983 -12.06141 -0.4282052,-1.796117 -12.26273 -0.1881151,-2.067275 -12.11024 -0.4625553,-2.00913 -12.3906 -0.4279888,-1.939413 -12.6802 -0.3064815,-1.758318 -12.44779 -0.1143801,-2.01554 -12.3329 -0.4148849,-1.93606 -12.65826 -0.388883,-1.850732 -12.9776 -0.2765913,-1.721306 -12.70853 -0.04876278,-1.961067 -12.54485 -0.3114203,-1.929938 -12.76088 -0.3519396,-1.877084 -12.98687 -0.3342439,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.710,Right Hand Closed 
-1.209867 -14.24326 0.001164793,-1.579521 -13.48776 -0.3377736,-1.816953 -12.85292 -0.4417538,-1.938052 -12.40184 -0.4798107,-1.990645 -12.07843 -0.4353414,-1.840264 -12.22421 -0.3146458,-2.130067 -11.87148 -0.4537968,-2.130948 -11.95949 -0.4581943,-2.090983 -12.06141 -0.4282052,-1.796117 -12.26273 -0.1881151,-2.067275 -12.11024 -0.4625553,-2.00913 -12.3906 -0.4279888,-1.939413 -12.6802 -0.3064815,-1.758318 -12.44779 -0.1143801,-2.01554 -12.3329 -0.4148849,-1.93606 -12.65826 -0.388883,-1.850732 -12.9776 -0.2765913,-1.721306 -12.70853 -0.04876278,-1.961067 -12.54485 -0.3114203,-1.929938 -12.76088 -0.3519396,-1.877084 -12.98687 -0.3342439,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.810,Right Hand Closed 
-1.209867 -14.24326 0.001164793,-1.579521 -13.48776 -0.3377736,-1.816953 -12.85292 -0.4417538,-1.938052 -12.40184 -0.4798107,-1.990645 -12.07843 -0.4353414,-1.840264 -12.22421 -0.3146458,-2.130067 -11.87148 -0.4537968,-2.130948 -11.95949 -0.4581943,-2.090983 -12.06141 -0.4282052,-1.796117 -12.26273 -0.1881151,-2.067275 -12.11024 -0.4625553,-2.00913 -12.3906 -0.4279888,-1.939413 -12.6802 -0.3064815,-1.758318 -12.44779 -0.1143801,-2.01554 -12.3329 -0.4148849,-1.93606 -12.65826 -0.388883,-1.850732 -12.9776 -0.2765913,-1.721306 -12.70853 -0.04876278,-1.961067 -12.54485 -0.3114203,-1.929938 -12.76088 -0.3519396,-1.877084 -12.98687 -0.3342439,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,2 0 -9.001208,0.910,Right Hand Closed 
