WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.010,
2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,0.110,
2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,0.210,
2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,0.310,
2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,0.410,
2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.272282,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,2 0 -9.661501,0.510,
-1.841606 -15.54429 -0.06291392,-2.567083 -15.01097 -0.2038105,-2.96377 -14.24271 -0.3008779,-3.21361 -13.45708 -0.4423506,-3.354166 -12.88034 -0.623135,-2.582196 -13.06486 0.0352136,-2.867839 -11.81792 -0.2964729,-3.023465 -11.42986 -0.7157772,-3.113956 -11.22738 -1.030704,-2.183545 -12.93585 -0.109119,-2.461839 -11.61954 -0.5357246,-2.680966 -11.40233 -1.077522,-2.797473 -11.3094 -1.466521,-1.84899 -12.99804 -0.324107,-2.095477 -11.82053 -0.7691996,-2.31595 -11.70368 -1.239451,-2.442749 -11.72992 -1.542457,-1.587467 -13.19736 -0.5461825,-1.777128 -12.28427 -0.906757,-1.970125 -12.17836 -1.225964,-2.080568 -12.22795 -1.477476,-7.72577 -14.51994 -1.741109,-7.236544 -14.48497 -1.29466,-6.785967 -14.26608 -0.8323421,-6.45515 -14.14658 -0.4042022,-6.22999 -14.02213 0.02224576,-6.835561 -12.63824 -0.9382068,-6.56189 -11.91961 -0.5163635,-6.389327 -12.26445 -0.2780849,-6.342847 -12.75832 -0.1523184,-7.091171 -12.50993 -0.9175332,-6.774982 -11.74503 -0.3981063,-6.597307 -12.22148 -0.06657124,-6.565649 -12.7069 0.08746314,-7.376797 -12.5737 -0.8690379,-7.097032 -11.83739 -0.4764466,-6.904948 -12.21495 -0.1926713,-6.87546 -12.66965 -0.02965534,-7.670103 -12.76951 -0.8013368,-7.45941 -12.16912 -0.4565181,-7.268037 -12.32688 -0.2030501,-7.188316 -12.60216 -0.05320752,0.610,Left Hand Closed
-2.011218 -14.03011 -0.4002625,-2.73695 -13.86852 -0.3109792,-3.221691 -13.13684 -0.2694873,-3.476689 -12.3986 -0.2374359,-3.645332 -11.76229 -0.2669586,-2.867815 -11.74467 -0.4122834,-3.136616 -10.81401 -0.4320814,-3.285387 -10.33265 -0.4924011,-3.421233 -9.992191 -0.5674984,-2.498354 -11.54523 -0.5124664,-2.697451 -10.49036 -0.6082588,-2.891989 -10.10697 -0.79743,-3.061342 -9.943939 -0.9870386,-2.168778 -11.53597 -0.5955533,-2.295787 -10.54923 -0.7476361,-2.486129 -10.1526 -0.9390181,-2.657306 -9.992714 -1.077877,-1.869612 -11.70085 -0.6742227,-1.946352 -10.8906 -0.8511462,-2.098755 -10.52891 -0.9928976,-2.248527 -10.39631 -1.100499,-7.826481 -14.29671 -2.186832,-7.093759 -13.80781 -2.017797,-6.660918 -13.14458 -1.869314,-6.38647 -12.60433 -1.715243,-6.136839 -12.00748 -1.541529,-6.973219 -12.26277 -1.791576,-6.890329 -11.43218 -1.562677,-6.791372 -10.82002 -1.351412,-6.658294 -10.29557 -1.157627,-7.211313 -12.30361 -1.729441,-7.122712 -11.37875 -1.515469,-6.962389 -10.7602 -1.367719,-6.822396 -10.21631 -1.28297,-7.455593 -12.42857 -1.63051,-7.413969 -11.61002 -1.433055,-7.28338 -11.00529 -1.288772,-7.162605 -10.51733 -1.209194,-7.695947 -12.68954 -1.524367,-7.66484 -12.10432 -1.338931,-7.598652 -11.64383 -1.226056,-7.543925 -11.24094 -1.161592,0.710,
-2.340977 -11.5006 0.4318523,-2.974353 -11.1177 0.60858,-3.403312 -10.35726 0.708634,-3.62292 -9.645031 0.8523433,-3.847576 -8.978203 1.032296,-3.138912 -8.917772 0.2951542,-3.330264 -7.988933 0.3511516,-3.463985 -7.439907 0.4025747,-3.589624 -6.974334 0.460467,-2.813888 -8.769642 0.3647565,-2.950237 -7.724674 0.419507,-3.079157 -7.14698 0.4933124,-3.200353 -6.720373 0.5395792,-2.501997 -8.815735 0.4992795,-2.59568 -7.805871 0.6021309,-2.726146 -7.243408 0.7264734,-2.841972 -6.86586 0.828672,-2.18186 -9.047979 0.6690318,-2.201609 -8.235575 0.8086847,-2.25874 -7.706388 0.9404597,-2.324735 -7.261545 1.050414,-8.006243 -11.61427 0.8409739,-7.379481 -11.14817 0.9284235,-6.932508 -10.26168 1.063328,-6.708737 -9.550425 1.248876,-6.514141 -8.949141 1.384213,-7.248475 -8.762175 0.9627802,-7.074943 -7.541832 1.204109,-6.976155 -7.013409 1.385238,-6.881197 -6.643846 1.520459,-7.53719 -8.666235 1.145004,-7.4126 -7.312273 1.390233,-7.33633 -6.728506 1.602903,-7.267638 -6.327424 1.724272,-7.829653 -8.833977 1.349366,-7.77803 -7.570203 1.597648,-7.698396 -7.002656 1.814963,-7.587152 -6.586037 1.959873,-8.142663 -9.250471 1.573263,-8.216402 -8.378325 1.815802,-8.196471 -7.859716 1.981743,-8.116916 -7.394298 2.090475,0.810,
-2.160201 -10.61364 0.9771304,-2.824461 -10.0556 1.04357,-3.287067 -9.332117 1.122093,-3.531742 -8.662107 1.277499,-3.7907 -8.088028 1.473673,-3.067166 -7.946222 0.7901918,-3.284345 -7.10917 0.8934957,-3.441038 -6.586797 1.025929,-3.599111 -6.093236 1.117577,-2.759531 -7.747793 0.9207088,-2.929798 -6.819241 0.987609,-3.075565 -6.221477 1.101492,-3.198126 -5.695544 1.175225,-2.467397 -7.752004 1.109056,-2.564465 -6.794973 1.181995,-2.68449 -6.218351 1.258057,-2.816808 -5.720897 1.32731,-2.165374 -7.939077 1.32648,-2.172197 -7.161802 1.395113,-2.235874 -6.658741 1.459151,-2.328622 -6.152441 1.514201,-8.113984 -10.90895 0.850763,-7.480082 -10.27804 0.8246059,-7.055034 -9.33474 0.9334853,-6.820796 -8.592758 1.120231,-6.591089 -7.977643 1.320665,-7.401684 -8.031918 0.8217481,-7.259956 -7.086247 0.975621,-7.15637 -6.507553 1.134017,-7.052065 -6.005476 1.252394,-7.710478 -7.939537 1.048709,-7.625018 -6.787366 1.15406,-7.540624 -6.076284 1.292461,-7.456453 -5.421234 1.383827,-8.00511 -8.041727 1.286916,-8.003809 -6.950824 1.400489,-7.947557 -6.283834 1.547804,-7.85308 -5.668374 1.633422,-8.297173 -8.343044 1.530442,-8.402412 -7.537864 1.629454,-8.424492 -6.986337 1.710189,-8.406817 -6.462951 1.7819,0.910,
