WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP,RING_FINGER_MCP,RING_FINGER_PIP,RING_FINGER_DIP,RING_FINGER_TIP,PINKY_MCP,PINKY_PIP,PINKY_DIP,PINKY_TIP,WRIST2,THUMB_CMC2,THUMB_MCP2,THUMB_IP2,THUMB_TIP2,INDEX_FINGER_MCP2,INDEX_FINGER_PIP2,INDEX_FINGER_DIP2,INDEX_FINGER_TIP2,MIDDLE_FINGER_MCP2,MIDDLE_FINGER_PIP2,MIDDLE_FINGER_DIP2,MIDDLE_FINGER_TIP2,RING_FINGER_MCP2,RING_FINGER_PIP2,RING_FINGER_DIP2,RING_FINGER_TIP2,PINKY_MCP2,PINKY_PIP2,PINKY_DIP2,PINKY_TIP2,Timestamp,Event
10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 0 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,10 7.47 0,0.010,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.110,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.210,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.310,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.410,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.510,
2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -11.39013,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,2 0 -9.984734,0.610,
-2.771046 -13.31364 -2.12812,-3.393792 -12.72276 -2.008007,-3.762938 -11.76517 -1.924742,-3.903384 -10.89817 -1.772153,-4.002748 -10.06035 -1.599524,-3.359402 -10.68472 -2.377199,-3.447586 -9.765093 -2.3981,-3.527413 -9.237009 -2.37287,-3.611729 -8.751318 -2.323109,-3.013302 -10.6832 -2.283358,-3.032354 -9.702114 -2.219487,-3.102403 -9.239704 -2.079952,-3.183578 -8.958839 -2.00786,-2.692914 -10.78267 -2.158788,-2.691747 -9.859007 -2.002012,-2.791652 -9.465168 -1.779873,-2.906691 -9.30154 -1.656156,-2.389866 -10.98587 -2.000421,-2.352121 -10.16322 -1.894143,-2.377776 -9.590656 -1.753893,-2.43872 -9.113941 -1.655432,-8.6537 -13.33003 -0.5985585,-7.897803 -13.16233 -0.3221641,-7.359611 -12.5945 -0.0312131,-7.162293 -11.85225 0.1915092,-7.225314 -11.17167 0.4145006,-7.65449 -10.92872 -0.2609715,-7.461649 -10.16187 -0.1750199,-7.350805 -9.95171 -0.04699844,-7.315457 -10.0689 0.0740028,-8.004531 -10.74848 -0.2739048,-7.715516 -9.94257 -0.1627965,-7.565984 -9.89678 -0.05896664,-7.535293 -10.05379 0.01470423,-8.374454 -10.804 -0.2715071,-8.06101 -10.09206 -0.1687254,-7.890151 -10.19217 -0.04911447,-7.87818 -10.48969 0.04230821,-8.762134 -11.02831 -0.2276226,-8.461775 -10.43441 -0.1020998,-8.269882 -10.456 0.02819276,-8.207088 -10.64168 0.1059003,0.710,
-2.741944 -12.02319 -2.041254,-3.342684 -11.39072 -1.928107,-3.723843 -10.54566 -1.832398,-3.870243 -9.737858 -1.662187,-3.967949 -8.917767 -1.471195,-3.348753 -9.389599 -2.222621,-3.439693 -8.398777 -2.111836,-3.548295 -7.825633 -1.994517,-3.653399 -7.312006 -1.91055,-3.012129 -9.366711 -2.102407,-3.00715 -8.323566 -1.99685,-3.044762 -7.684083 -1.84066,-3.078333 -7.173259 -1.729966,-2.700602 -9.489815 -1.936083,-2.66105 -8.491552 -1.802933,-2.676353 -7.885828 -1.61245,-2.704445 -7.423496 -1.465597,-2.404624 -9.768379 -1.728266,-2.351695 -8.938997 -1.563089,-2.360109 -8.401062 -1.396745,-2.385922 -7.943406 -1.27626,-8.634449 -11.96338 0.7225077,-7.955572 -11.72749 0.8816801,-7.561866 -11.00775 1.054832,-7.380239 -10.27061 1.197203,-7.285895 -9.523607 1.264179,-7.812755 -9.173843 0.8969803,-7.670918 -7.957719 0.9971302,-7.540013 -7.486511 1.12471,-7.484138 -7.418729 1.220134,-8.167364 -8.944374 0.8793768,-8.068395 -7.553652 0.8491024,-7.908218 -7.451316 0.8473917,-7.852373 -7.679439 0.8502608,-8.503016 -9.001202 0.8752918,-8.438557 -7.751184 0.7783988,-8.299559 -7.688354 0.7081985,-8.254426 -7.867132 0.6685379,-8.835112 -9.253283 0.8759531,-8.824916 -8.285934 0.7937174,-8.689528 -8.10161 0.6852502,-8.596077 -8.128204 0.5966319,0.810,
-2.593932 -10.92408 -1.401175,-3.202218 -10.4725 -1.184477,-3.611551 -9.693247 -1.058695,-3.771101 -8.996395 -0.8891326,-3.880129 -8.35766 -0.7038547,-3.294712 -8.207907 -1.518056,-3.435547 -7.18811 -1.438933,-3.53039 -6.608668 -1.31407,-3.611765 -6.118179 -1.205347,-2.969419 -8.095266 -1.438173,-3.036425 -6.97701 -1.346381,-3.10663 -6.358087 -1.199301,-3.178164 -5.88564 -1.111873,-2.655544 -8.143814 -1.292367,-2.688378 -7.085506 -1.184099,-2.747538 -6.4721 -1.023486,-2.807406 -6.009921 -0.8929155,-2.336793 -8.369173 -1.105889,-2.303057 -7.514971 -0.9446006,-2.324391 -6.980041 -0.7949272,-2.366013 -6.519207 -0.6740965,-8.597886 -10.4939 1.67449,-8.017987 -10.27724 2.118875,-7.65699 -9.556927 2.574873,-7.495887 -8.904867 2.933394,-7.437292 -8.223022 3.22139,-7.940347 -7.408506 2.552079,-7.887609 -5.852176 2.927637,-7.693605 -5.901149 3.236525,-7.602959 -6.338766 3.411906,-8.296385 -7.294754 2.552284,-8.21975 -5.597725 2.845453,-7.940604 -5.804662 3.087836,-7.797267 -6.332954 3.259225,-8.631421 -7.469329 2.550625,-8.621917 -5.926094 2.781343,-8.411149 -6.025857 2.861506,-8.306699 -6.453342 2.903083,-8.953385 -7.836464 2.564075,-9.02409 -6.583681 2.712365,-8.888171 -6.546039 2.701243,-8.780323 -6.823165 2.643713,0.910,Left Hand Closed
-2.481168 -10.43639 -0.8136289,-3.147223 -9.650084 -0.7613353,-3.547792 -8.745085 -0.6672349,-3.741667 -7.944879 -0.4940059,-3.915237 -7.262933 -0.2983614,-3.196131 -7.556222 -1.115176,-3.322502 -6.743526 -1.040134,-3.457599 -6.233858 -0.8534033,-3.586851 -5.718917 -0.7294616,-2.880355 -7.44621 -0.9899856,-2.957871 -6.577513 -0.9701909,-3.083958 -6.031413 -0.8177769,-3.193577 -5.564023 -0.7028635,-2.583792 -7.471669 -0.8291818,-2.607095 -6.556098 -0.8251238,-2.695119 -6.020525 -0.7312575,-2.794416 -5.587783 -0.6535228,-2.294188 -7.640766 -0.6232461,-2.260595 -6.874345 -0.621078,-2.294982 -6.321962 -0.5690829,-2.360055 -5.796665 -0.4979837,-8.940035 -10.49254 1.338621,-8.258987 -10.00031 1.510904,-7.804083 -9.087152 1.686125,-7.576475 -8.188503 1.857179,-7.421158 -7.39686 1.975172,-8.134135 -7.472156 1.272515,-7.979879 -6.265338 1.288915,-7.906176 -5.770051 1.260567,-7.879742 -5.521451 1.244548,-8.483448 -7.290388 1.275849,-8.326045 -5.894732 1.285583,-8.247237 -5.304413 1.220095,-8.190724 -4.997865 1.150248,-8.795648 -7.355814 1.31881,-8.699108 -6.100611 1.336058,-8.646244 -5.515331 1.324633,-8.565935 -5.123962 1.32564,-9.113214 -7.65093 1.374537,-9.169633 -6.734412 1.3736,-9.164083 -6.210685 1.378646,-9.103629 -5.791065 1.359741,1.010,
-2.569348 -8.795662 -0.5820235,-3.23559 -8.194304 -0.5706108,-3.751015 -7.41184 -0.5415649,-4.02835 -6.62244 -0.4457529,-4.232004 -5.951362 -0.3441412,-3.508818 -6.004518 -0.8611742,-3.757542 -4.993762 -0.7564322,-3.868658 -4.506588 -0.7011583,-3.965242 -4.146511 -0.6646668,-3.190193 -5.773706 -0.7105349,-3.368815 -4.612274 -0.6578275,-3.490271 -4.063961 -0.5851294,-3.588584 -3.671033 -0.5412407,-2.876672 -5.746896 -0.5145854,-2.972087 -4.643194 -0.4017944,-3.084155 -4.067813 -0.3098871,-3.198697 -3.664578 -0.2285057,-2.546432 -5.936308 -0.2937793,-2.545803 -5.101827 -0.1881951,-2.614305 -4.60335 -0.06835425,-2.721893 -4.19568 0.02423686,-8.991111 -9.215504 0.1815643,-8.366157 -8.713028 0.2780128,-7.927346 -7.888288 0.3993424,-7.736556 -7.087362 0.5769534,-7.592432 -6.487081 0.7273279,-8.274508 -6.47676 0.1292593,-8.175027 -5.443149 0.2257909,-8.116884 -4.870229 0.3273035,-8.066673 -4.376251 0.4099469,-8.586339 -6.339989 0.2403789,-8.477537 -5.158366 0.2925691,-8.418619 -4.487354 0.469444,-8.371276 -3.864761 0.6012943,-8.880873 -6.412735 0.3789415,-8.816201 -5.314765 0.4567136,-8.773219 -4.657416 0.6146215,-8.708904 -4.072878 0.7363744,-9.188496 -6.684076 0.5218883,-9.252303 -5.854372 0.6161909,-9.276369 -5.33076 0.7271487,-9.261573 -4.820856 0.8190581,1.110,
